TableName,Year,Count
Address,2005,168
Address,2006,167
Address,2007,112
Address,2008,3
Customer,2005,308
Customer,2006,313
Customer,2007,210
Customer,2008,6
Customer,2009,10
CustomerAddress,2005,150
CustomerAddress,2006,162
CustomerAddress,2007,102
CustomerAddress,2008,3
Product,2008,295
ProductCategory,2002,41
ProductDescription,2007,636
ProductDescription,2008,126
ProductModel,2002,1
ProductModel,2005,12
ProductModel,2006,51
ProductModel,2007,55
ProductModel,2009,9
SalesOrderDetail,2008,542
SalesOrderHeader,2008,32
